Series ID,A2390558X,A2390417V,A2390462F,A2390507X,A2390561L,A2390606F,A2390651T,A2390559A,A2390418W,A2390463J,A2390508A,A2390562R,A2390607J,A2390652V
1/09/1966,8.3,8,9.2,8.1,7,8.4,7.8,,,,,,,
1/12/1966,8.4,8.2,9.3,8.2,7,8.5,7.9,1.2,2.5,1.1,1.2,0,1.2,1.3
1/03/1967,8.5,8.2,9.3,8.3,7.1,8.5,7.9,1.2,0,0,1.2,1.4,0,0
1/06/1967,8.5,8.2,9.2,8.4,7.1,8.6,7.9,0,0,-1.1,1.2,0,1.2,0
1/09/1967,8.6,8.3,9.3,8.4,7.2,8.7,8,1.2,1.2,1.1,0,1.4,1.2,1.3
1/12/1967,8.7,8.4,9.4,8.5,7.2,8.8,8.1,1.2,1.2,1.1,1.2,0,1.1,1.3
1/03/1968,8.7,8.4,9.4,8.5,7.3,8.9,8.1,0,0,0,0,1.4,1.1,0
1/06/1968,8.7,8.6,9.4,8.5,7.3,8.9,8.2,0,2.4,0,0,0,0,1.2
1/09/1968,8.8,8.6,9.5,8.6,7.4,8.9,8.2,1.1,0,1.1,1.2,1.4,0,0
1/12/1968,8.9,8.8,9.5,8.7,7.5,8.9,8.2,1.1,2.3,0,1.2,1.4,0,0
1/03/1969,9,9,9.6,8.7,7.7,9,8.3,1.1,2.3,1.1,0,2.7,1.1,1.2
1/06/1969,9.2,9.2,9.7,8.8,7.8,9.1,8.3,2.2,2.2,1,1.1,1.3,1.1,0
1/09/1969,9.3,9.2,9.8,8.9,7.9,9.3,8.4,1.1,0,1,1.1,1.3,2.2,1.2
1/12/1969,9.3,9.4,9.9,9,7.9,9.3,8.5,0,2.2,1,1.1,0,0,1.2
1/03/1970,9.4,9.4,9.9,9.1,8,9.4,8.5,1.1,0,0,1.1,1.3,1.1,0
1/06/1970,9.5,9.5,10,9.1,8,9.4,8.7,1.1,1.1,1,0,0,0,2.4
1/09/1970,9.5,9.6,10,9.2,8,9.4,8.8,0,1.1,0,1.1,0,0,1.1
1/12/1970,9.6,9.6,10.2,9.3,8.2,9.5,8.9,1.1,0,2,1.1,2.5,1.1,1.1
1/03/1971,9.9,9.9,10.6,9.6,8.3,9.8,9.2,3.1,3.1,3.9,3.2,1.2,3.2,3.4
1/06/1971,10,10,10.8,9.8,8.6,9.9,9.3,1,1,1.9,2.1,3.6,1,1.1
1/09/1971,10.2,10.1,10.8,9.9,8.6,10.1,9.4,2,1,0,1,0,2,1.1
1/12/1971,10.3,10.3,11,10.1,8.8,10.2,9.5,1,2,1.9,2,2.3,1,1.1
1/03/1972,10.4,10.3,11,10.5,8.9,10.3,9.6,1,0,0,4,1.1,1,1.1
1/06/1972,10.6,10.4,11.2,10.6,9.1,10.5,9.8,1.9,1,1.8,1,2.2,1.9,2.1
1/09/1972,10.7,10.5,11.4,10.8,9.2,10.6,10.1,0.9,1,1.8,1.9,1.1,1,3.1
1/12/1972,10.9,11,11.5,10.8,9.4,10.6,10.1,1.9,4.8,0.9,0,2.2,0,0
1/03/1973,11.1,11.2,11.8,11,9.6,10.8,10.6,1.8,1.8,2.6,1.9,2.1,1.9,5
1/06/1973,11.5,11.6,12.2,11.4,9.9,11.2,10.7,3.6,3.6,3.4,3.6,3.1,3.7,0.9
1/09/1973,12.1,12.2,12.8,12,10.5,11.4,11,5.2,5.2,4.9,5.3,6.1,1.8,2.8
1/12/1973,12.5,12.7,13.2,12.3,10.8,11.7,11.2,3.3,4.1,3.1,2.5,2.9,2.6,1.8
1/03/1974,12.9,13,13.8,12.6,11.2,12.1,11.6,3.2,2.4,4.5,2.4,3.7,3.4,3.6
1/06/1974,13.7,13.6,14.9,13.4,12.1,12.8,12.3,6.2,4.6,8,6.3,8,5.8,6
1/09/1974,14.6,14.6,15.9,14.4,13.1,13.7,13.3,6.6,7.4,6.7,7.5,8.3,7,8.1
1/12/1974,15.2,15.2,16.2,15.1,13.6,14.3,13.9,4.1,4.1,1.9,4.9,3.8,4.4,4.5
1/03/1975,15.8,15.8,16.7,15.7,14.2,14.9,14.5,3.9,3.9,3.1,4,4.4,4.2,4.3
1/06/1975,16.3,16.2,17.3,16.4,14.5,15.5,15.2,3.2,2.5,3.6,4.5,2.1,4,4.8
1/09/1975,16.8,16.6,17.8,16.9,15,16.2,15.7,3.1,2.5,2.9,3,3.4,4.5,3.3
1/12/1975,17.2,16.9,18.1,17.8,15.5,16.9,16.4,2.4,1.8,1.7,5.3,3.3,4.3,4.5
1/03/1976,17.7,17.4,18.6,18.3,15.8,17.3,16.8,2.9,3,2.8,2.8,1.9,2.4,2.4
1/06/1976,18.5,18.1,19.5,19,16.7,18.2,17.6,4.5,4,4.8,3.8,5.7,5.2,4.8
1/09/1976,19,18.4,20,19.4,17.2,18.7,18.1,2.7,1.7,2.6,2.1,3,2.7,2.8
1/12/1976,19.3,18.8,20.4,19.8,17.4,19.2,18.4,1.6,2.2,2,2.1,1.2,2.7,1.7
1/03/1977,20,19.5,21,20.3,17.9,19.8,18.9,3.6,3.7,2.9,2.5,2.9,3.1,2.7
1/06/1977,20.4,19.8,21.4,20.8,18.4,20.3,19.2,2,1.5,1.9,2.5,2.8,2.5,1.6
1/09/1977,20.8,20.3,21.7,21.3,18.8,21.1,19.9,2,2.5,1.4,2.4,2.2,3.9,3.6
1/12/1977,21.1,20.5,21.9,21.6,19.1,21.4,20.3,1.4,1,0.9,1.4,1.6,1.4,2
1/03/1978,21.4,20.8,22.2,22.1,19.3,21.7,20.6,1.4,1.5,1.4,2.3,1,1.4,1.5
1/06/1978,21.7,21.2,22.5,22.4,19.6,21.9,20.8,1.4,1.9,1.4,1.4,1.6,0.9,1
1/09/1978,22,21.6,22.6,22.6,19.8,22.1,21,1.4,1.9,0.4,0.9,1,0.9,1
1/12/1978,22.2,21.8,22.9,22.8,20.1,22.4,21.3,0.9,0.9,1.3,0.9,1.5,1.4,1.4
1/03/1979,22.8,22.4,23.5,23.4,21,23,21.8,2.7,2.8,2.6,2.6,4.5,2.7,2.3
1/06/1979,23.5,23.2,24.2,23.9,21.9,23.5,22.8,3.1,3.6,3,2.1,4.3,2.2,4.6
1/09/1979,24.2,24,24.8,24.6,22.8,24.2,23.1,3,3.4,2.5,2.9,4.1,3,1.3
1/12/1979,24.9,24.7,25.5,25.3,23.5,24.8,23.7,2.9,2.9,2.8,2.8,3.1,2.5,2.6
1/03/1980,26,25.6,26.8,26.4,24.4,25.8,24.4,4.4,3.6,5.1,4.3,3.8,4,3
1/06/1980,27,26.7,28,27.5,25.3,26.8,25.3,3.8,4.3,4.5,4.2,3.7,3.9,3.7
1/09/1980,28.2,27.5,29.2,28.8,26.4,27.9,26,4.4,3,4.3,4.7,4.3,4.1,2.8
1/12/1980,28.6,28,29.6,29.4,27,28.4,26.4,1.4,1.8,1.4,2.1,2.3,1.8,1.5
1/03/1981,29.3,28.5,30.3,30.4,27.7,28.9,27.1,2.4,1.8,2.4,3.4,2.6,1.8,2.7
1/06/1981,29.9,29.3,31,31.2,28.3,29.4,27.9,2,2.8,2.3,2.6,2.2,1.7,3
1/09/1981,30.7,29.7,31.5,32.1,28.9,30.4,28.2,2.7,1.4,1.6,2.9,2.1,3.4,1.1
1/12/1981,31.2,30.3,32.1,32.6,29.6,31,28.7,1.6,2,1.9,1.6,2.4,2,1.8
1/03/1982,32.3,31.2,33.3,34.2,30.6,32.1,29.9,3.5,3,3.7,4.9,3.4,3.5,4.2
1/06/1982,33.4,32.1,34.4,35.3,31.9,33.2,31.2,3.4,2.9,3.3,3.2,4.2,3.4,4.3
1/09/1982,34.1,32.7,35.3,36,32.9,34.1,31.6,2.1,1.9,2.6,2,3.1,2.7,1.3
1/12/1982,34.5,33.1,35.7,36.5,33.5,34.5,31.9,1.2,1.2,1.1,1.4,1.8,1.2,0.9
1/03/1983,35.2,33.4,36.7,37.1,34.4,35,32,2,0.9,2.8,1.6,2.7,1.4,0.3
1/06/1983,35.9,34.1,37.4,37.9,35.3,35.2,33.3,2,2.1,1.9,2.2,2.6,0.6,4.1
1/09/1983,36.4,34.5,38.1,38.3,35.8,35.7,33.8,1.4,1.2,1.9,1.1,1.4,1.4,1.5
1/12/1983,37,34.8,39.1,39.3,36.3,36.5,34.1,1.6,0.9,2.6,2.6,1.4,2.2,0.9
1/03/1984,38,35.6,40.4,40.5,37.1,37.2,35.1,2.7,2.3,3.3,3.1,2.2,1.9,2.9
1/06/1984,39,36.4,41.7,41.1,37.9,37.9,36.3,2.6,2.2,3.2,1.5,2.2,1.9,3.4
1/09/1984,39.6,37,42.4,41.6,38.8,38.5,37.1,1.5,1.6,1.7,1.2,2.4,1.6,2.2
1/12/1984,40.2,37.7,42.9,42.1,39.5,38.8,38.8,1.5,1.9,1.2,1.2,1.8,0.8,4.6
1/03/1985,40.7,38.4,43.4,42.5,40,39.2,39.2,1.2,1.9,1.2,1,1.3,1,1
1/06/1985,41.8,39.7,44.5,43.3,41.5,40,40.1,2.7,3.4,2.5,1.9,3.8,2,2.3
1/09/1985,42.6,40.3,45.3,44,42.2,40.8,41,1.9,1.5,1.8,1.6,1.7,2,2.2
1/12/1985,43.2,40.8,46.1,44.5,42.9,41.6,41.8,1.4,1.2,1.8,1.1,1.7,2,2
1/03/1986,43.8,41.2,46.9,45,43.3,42.4,42.3,1.4,1,1.7,1.1,0.9,1.9,1.2
1/06/1986,44.4,41.8,47.3,45.8,43.9,42.8,42.7,1.4,1.5,0.9,1.8,1.4,0.9,0.9
1/09/1986,44.9,42.5,47.9,46,44.4,43.5,43.3,1.1,1.7,1.3,0.4,1.1,1.6,1.4
1/12/1986,45.8,43.5,48.8,46.7,45,44.3,44,2,2.4,1.9,1.5,1.4,1.8,1.6
1/03/1987,46.3,43.8,49.2,47.2,45.6,45.2,44.2,1.1,0.7,0.8,1.1,1.3,2,0.5
1/06/1987,47,44.5,50.2,47.5,46.1,45.9,44.6,1.5,1.6,2,0.6,1.1,1.5,0.9
1/09/1987,47.7,45.3,51,47.9,46.3,46.7,45.2,1.5,1.8,1.6,0.8,0.4,1.7,1.3
1/12/1987,48.7,46.2,52.3,49.2,46.8,47.2,45.8,2.1,2,2.5,2.7,1.1,1.1,1.3
1/03/1988,50,47.4,53.6,51,48.3,48.1,46.7,2.7,2.6,2.5,3.7,3.2,1.9,2
1/06/1988,51.6,49.4,55.2,52.6,49.6,49.4,47.9,3.2,4.2,3,3.1,2.7,2.7,2.6
1/09/1988,52.8,50.4,56.4,53.8,50.7,51.2,48.9,2.3,2,2.2,2.3,2.2,3.6,2.1
1/12/1988,54.2,52.2,57.7,55,51.4,52.8,49.8,2.7,3.6,2.3,2.2,1.4,3.1,1.8
1/03/1989,55.5,53.3,59,55.9,52.6,54.7,50.8,2.4,2.1,2.3,1.6,2.3,3.6,2
1/06/1989,56.8,54.8,60.3,57.3,53.7,56.2,51.7,2.3,2.8,2.2,2.5,2.1,2.7,1.8
1/09/1989,57.7,56.1,60.6,58.5,54.4,57.4,52.2,1.6,2.4,0.5,2.1,1.3,2.1,1
1/12/1989,58.6,56.7,61.6,59.7,55.5,58.5,53.4,1.6,1.1,1.7,2.1,2,1.9,2.3
1/03/1990,59.4,57.2,62.3,60.6,56.2,59.4,54,1.4,0.9,1.1,1.5,1.3,1.5,1.1
1/06/1990,60.5,58.4,63.2,61.5,57.5,60.8,55,1.9,2.1,1.4,1.5,2.3,2.4,1.9
1/09/1990,61,59.1,63.6,62.1,58,61.6,55.3,0.8,1.2,0.6,1,0.9,1.3,0.5
1/12/1990,61.5,59.8,63.8,62.8,58.6,62.3,56,0.8,1.2,0.3,1.1,1,1.1,1.3
1/03/1991,62.2,60.1,64.4,64.2,59,62.7,56.4,1.1,0.5,0.9,2.2,0.7,0.6,0.7
1/06/1991,62.4,60.3,64.5,65.1,59.2,62.6,57.4,0.3,0.3,0.2,1.4,0.3,-0.2,1.8
